Team,Priority component,Found in filepath
slots,TYPOGRAPHY,/src/components/BookSlot/NewAddress/NewAddressField/NewAddressField.js
slots,TYPOGRAPHY,/src/components/BookSlot/ProhibitedPage/ProhibitedPage.js
slots,TYPOGRAPHY,/src/components/BookSlot/ServiceSelection/ServiceSelection.js
slots,TYPOGRAPHY,/src/components/BookSlot/Slot/Slot.js
slots,TYPOGRAPHY,/src/components/BookSlot/SlotGrid/Table.js
slots,TYPOGRAPHY,/src/components/BookSlot/SlotGridOverlayMessaging/index.js
slots,BUTTON,/src/components/BookSlot/ExpandCollapsePanel/ExpandCollapsePanel.js
slots,BUTTON,/src/components/BookSlot/Slot/Slot.js
slots,ANCHOR_LINK,/src/components/BookSlot/EditSlotLink/index.js
slots,ANCHOR_LINK,/src/components/BookSlot/ProhibitedPage/ProhibitedPage.js
customerServiceAndComms,TYPOGRAPHY,/src/components/ContactUsCard/ContactUsCard.js
customerServiceAndComms,TYPOGRAPHY,/src/components/ContactUsCard/MyWaitrose/MyWaitrose.js
customerServiceAndComms,TYPOGRAPHY,/src/components/CustomerServiceForms/BranchFeedbackForm/BranchFeedbackForm.js
customerServiceAndComms,TYPOGRAPHY,/src/components/CustomerServiceForms/OnlineOrderIssueForm/MissingItem.js
customerServiceAndComms,TYPOGRAPHY,/src/components/CustomerServiceForms/OnlineOrderIssueForm/OnlineOrderIssueForm.js
customerServiceAndComms,TYPOGRAPHY,/src/components/CustomerServiceForms/OnlineOrderIssueForm/Substitution.js
customerServiceAndComms,TYPOGRAPHY,/src/components/CustomerServiceForms/ProductIssuesForm/Form/Form.component.js
customerServiceAndComms,TYPOGRAPHY,/src/components/CustomerServiceForms/ProductIssuesForm/Form/ReportAnotherProduct.js
customerServiceAndComms,TYPOGRAPHY,/src/components/CustomerServiceForms/ProductIssuesForm/PurchaseDetails.js
customerServiceAndComms,TYPOGRAPHY,/src/components/CustomerServiceForms/ProductIssuesForm/ReceiptDetails.js
customerServiceAndComms,TYPOGRAPHY,/src/components/CustomerServiceForms/shared/CustomerDetails.js
customerServiceAndComms,TYPOGRAPHY,/src/components/CustomerServiceForms/StockQueriesForm/StockQueriesForm.js
customerServiceAndComms,TYPOGRAPHY,/src/components/CustomerServiceForms/StockQueriesForm/StockQueryDetails.js
customerServiceAndComms,TYPOGRAPHY,/src/components/Forms/utilities/ImageUpload/FileUploaderScreen.js
customerServiceAndComms,TYPOGRAPHY,/src/components/Forms/utilities/ImageUpload/InputImageUpload.js
customerServiceAndComms,TYPOGRAPHY,/src/components/Forms/utilities/ImageUpload/Preview.js
customerServiceAndComms,TYPOGRAPHY,/src/components/Forms/utilities/SearchSelect/index.js
customerServiceAndComms,ANCHOR_LINK,/src/components/ContactUsCard/ContactTable/Rows/Email.js
customerServiceAndComms,ANCHOR_LINK,/src/components/ContactUsCard/ContactTable/Rows/Phone.js
loyalty,TYPOGRAPHY,/src/components/CookieAlert/FullModal/index.js
loyalty,TYPOGRAPHY,/src/components/CookieAlert/InitialModal/index.js
loyalty,TYPOGRAPHY,/src/components/DigitalVoucher/DigitalVoucher.js
loyalty,TYPOGRAPHY,/src/components/DigitalWallet/DigitalWallet.js
loyalty,TYPOGRAPHY,/src/components/MyWaitrose/Form/MarketingSubscription.js
loyalty,TYPOGRAPHY,/src/components/MyWaitrose/JoinMyWaitrose/JoinMyWaitrose.js
loyalty,TYPOGRAPHY,/src/components/MyWaitrose/MembershipBenefits/MyPartnershipBenfits.js
loyalty,TYPOGRAPHY,/src/components/MyWaitrose/MyWaitroseHubNavigation/MyWaitroseHubNavigation.js
loyalty,TYPOGRAPHY,/src/components/MyWaitrose/MyWaitroseRewards/InStoreRewards/InStoreRewards.js
loyalty,TYPOGRAPHY,/src/components/MyWaitrose/MyWaitroseRewards/OnlineRewards/OnlineRewards.js
loyalty,TYPOGRAPHY,/src/components/MyWaitrose/MyWaitroseRewards/Vouchers/Vouchers.js
loyalty,TYPOGRAPHY,/src/components/MyWaitrose/WelcomeToMyWaitrose/WelcomeToMyWaitrose.js
loyalty,TYPOGRAPHY,/src/components/OrderReplacementCard/OrderReplacementCard.js
loyalty,TYPOGRAPHY,/src/components/OrderReplacementCardSuccess/OrderReplacementCardSuccess.js
loyalty,TYPOGRAPHY,/src/components/PromoCode/NonQualifiedPromoCodeWarning/NonQualifiedPromoCodeWarning.js
loyalty,TYPOGRAPHY,/src/components/PromoCode/PromoCode.js
loyalty,TYPOGRAPHY,/src/components/PromoItem/PromoItem.js
identity,TYPOGRAPHY,/src/components/ForgotPassword/Form.js
identity,TYPOGRAPHY,/src/components/ForgotPassword/Success.js
identity,TYPOGRAPHY,/src/components/Login/errors.js
identity,TYPOGRAPHY,/src/components/Logout/Logout.js
